YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,N407AS,ANC,SEA,5,2354.0,-11.0,1448,430,408.0,-22.0,0,,,,,,
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,10,2.0,-8.0,2330,750,741.0,-9.0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,20,18.0,-2.0,2296,806,811.0,5.0,0,,,,,,
2015,1,1,4,AA,258,N3HYAA,LAX,MIA,20,15.0,-5.0,2342,805,756.0,-9.0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,25,24.0,-1.0,1448,320,259.0,-21.0,0,,,,,,
2015,1,1,4,DL,806,N3730B,SFO,MSP,25,20.0,-5.0,1589,602,610.0,8.0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,25,19.0,-6.0,1299,526,509.0,-17.0,0,,,,,,
2015,1,1,4,US,2013,N584UW,LAX,CLT,30,44.0,14.0,2125,803,753.0,-10.0,0,,,,,,
2015,1,1,4,AA,1112,N3LAAA,SFO,DFW,30,19.0,-11.0,1464,545,532.0,-13.0,0,,,,,,
2015,1,1,4,DL,1173,N826DN,LAS,ATL,30,33.0,3.0,1747,711,656.0,-15.0,0,,,,,,
2015,1,1,4,DL,2336,N958DN,DEN,ATL,30,24.0,-6.0,1199,523,453.0,-30.0,0,,,,,,
2015,1,1,4,AA,1674,N853AA,LAS,MIA,35,27.0,-8.0,2174,803,753.0,-10.0,0,,,,,,
2015,1,1,4,DL,1434,N547US,LAX,MSP,35,35.0,0.0,1535,609,605.0,-4.0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,40,34.0,-6.0,1590,615,553.0,-22.0,0,,,,,,
2015,1,1,4,DL,2440,N651DL,SEA,MSP,40,39.0,-1.0,1399,549,557.0,8.0,0,,,,,,
2015,1,1,4,AS,108,N309AS,ANC,SEA,45,41.0,-4.0,1448,509,455.0,-14.0,0,,,,,,
2015,1,1,4,DL,1560,N3743H,ANC,SEA,45,31.0,-14.0,1448,515,451.0,-24.0,0,,,,,,
2015,1,1,4,UA,1197,N78448,SFO,IAH,48,42.0,-6.0,1635,626,619.0,-7.0,0,,,,,,
2015,1,1,4,AS,122,N413AS,ANC,PDX,50,46.0,-4.0,1542,525,507.0,-18.0,0,,,,,,
2015,1,1,4,DL,1670,N806DN,PDX,MSP,50,45.0,-5.0,1426,603,551.0,-12.0,0,,,,,,
2015,1,1,4,NK,520,N525NK,LAS,MCI,55,120.0,25.0,1139,537,543.0,6.0,0,,,,,,
2015,1,1,4,AA,371,N3GXAA,SEA,MIA,100,52.0,-8.0,2724,938,939.0,1.0,0,,,,,,
2015,1,1,4,NK,214,N632NK,LAS,DFW,103,102.0,-1.0,1055,530,529.0,-1.0,0,,,,,,
2015,1,1,4,AA,115,N3CTAA,LAX,MIA,105,103.0,-2.0,2342,851,839.0,-12.0,0,,,,,,
2015,1,1,4,DL,1450,N671DN,LAS,MSP,105,102.0,-3.0,1299,608,545.0,-23.0,0,,,,,,
2015,1,1,4,UA,1545,N76517,LAX,IAH,115,112.0,-3.0,1379,618,607.0,-11.0,0,,,,,,
2015,1,1,4,AS,130,N457AS,FAI,SEA,115,107.0,-8.0,1533,548,545.0,-3.0,0,,,,,,
2015,1,1,4,NK,597,N528NK,MSP,FLL,115,127.0,12.0,1487,542,607.0,25.0,0,,25.0,0.0,0.0,0.0,0.0
2015,1,1,4,US,413,N571UW,LAS,CLT,120,110.0,-10.0,1916,825,754.0,-31.0,0,,,,,,
2015,1,1,4,AA,2392,N3HRAA,DEN,MIA,120,141.0,21.0,1709,707,709.0,2.0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,125,237.0,72.0,1440,549,632.0,43.0,0,,43.0,0.0,0.0,0.0,0.0
2015,1,1,4,AA,2211,N3CGAA,PHX,MIA,127,116.0,-11.0,1972,726,710.0,-16.0,0,,,,,,
2015,1,1,4,AS,136,N431AS,ANC,SEA,135,,,1448,600,,,1,A,,,,,
2015,1,1,4,DL,95,N320US,SLC,ATL,140,134.0,-6.0,1590,715,725.0,10.0,0,,,,,,
2015,1,1,4,NK,298,N514NK,LAS,IAH,144,140.0,-4.0,1222,634,630.0,-4.0,0,,,,,,
2015,1,1,4,HA,17,N389HA,LAS,HNL,145,145.0,0.0,2762,555,610.0,15.0,0,,0.0,0.0,15.0,0.0,0.0
2015,1,1,4,US,617,N804AW,ANC,PHX,152,143.0,-9.0,2552,915,905.0,-10.0,0,,,,,,
2015,1,1,4,UA,1528,N76519,SJU,EWR,154,157.0,3.0,1608,509,458.0,-11.0,0,,,,,,
2015,1,1,4,AS,134,N464AS,ANC,SEA,155,140.0,-15.0,1448,633,558.0,-35.0,0,,,,,,
2015,1,1,4,B6,304,N607JB,SJU,JFK,155,153.0,-2.0,1598,450,501.0,11.0,0,,,,,,
2015,1,1,4,NK,451,N633NK,PBG,FLL,155,139.0,-16.0,1334,523,450.0,-33.0,0,,,,,,
2015,1,1,4,NK,972,N606NK,PHX,DFW,159,158.0,-1.0,868,502,503.0,1.0,0,,,,,,
2015,1,1,4,AA,2459,N3BDAA,PHX,DFW,200,,,868,500,,,1,B,,,,,
